test_number,original_action,new_action,confirmed
0,3,3,False
1,3,3,False
2,3,0,True
3,3,0,True
4,0,3,True
5,0,3,True
6,3,0,True
7,3,3,False
8,3,3,False
9,0,0,False
10,0,3,True
11,0,0,False
12,0,3,True
13,0,0,False
14,0,0,False
15,0,0,False
16,0,0,False
17,3,3,False
18,3,0,True
19,3,3,False
20,3,3,False
21,0,0,False
22,0,0,False
23,1,0,True
24,3,3,False
25,0,3,True
26,0,3,True
27,0,3,True
28,0,0,False
29,0,0,False
