trial,original_action,q_margin,obstacles,saliency_values,actions_after_removal,changed,faithful_top_salient,faithful_least_salient
64,0,0.03299522399902344,"[(np.int64(4), np.int64(0)), (np.int64(2), np.int64(4)), (np.int64(4), np.int64(1))]","[1.0663542747497559, 1.0777146816253662, 1.0445294380187988]","[3, 0, 3]","[True, False, True]",False,True
65,0,1.4060277938842773,"[(np.int64(1), np.int64(1)), (np.int64(0), np.int64(4)), (np.int64(2), np.int64(0))]","[1.3565452098846436, 0.9482402801513672, 0.9794498682022095]","[0, 0, 0]","[False, False, False]",False,False
66,3,0.014964103698730469,"[(np.int64(2), np.int64(4)), (np.int64(3), np.int64(3)), (np.int64(0), np.int64(4))]","[1.0913742780685425, 0.9490336179733276, 1.3261284828186035]","[3, 3, 3]","[False, False, False]",False,False
67,3,0.021147727966308594,"[(np.int64(3), np.int64(3)), (np.int64(4), np.int64(0)), (np.int64(2), np.int64(4))]","[0.7543628811836243, 1.0842745304107666, 1.1352062225341797]","[3, 3, 3]","[False, False, False]",False,False
68,0,2.146580696105957,"[(np.int64(3), np.int64(2)), (np.int64(1), np.int64(0)), (np.int64(0), np.int64(2))]","[0.7510350346565247, 1.4336018562316895, 1.0890998840332031]","[0, 3, 0]","[False, True, False]",True,False
69,0,0.005123138427734375,"[(np.int64(4), np.int64(0)), (np.int64(2), np.int64(3)), (np.int64(1), np.int64(1))]","[0.8332802653312683, 1.0895519256591797, 1.3111807107925415]","[3, 0, 3]","[True, False, True]",True,True
70,3,1.1751384735107422,"[(np.int64(0), np.int64(2)), (np.int64(0), np.int64(1)), (np.int64(1), np.int64(3))]","[0.9597612619400024, 1.5253063440322876, 0.8313012719154358]","[3, 3, 3]","[False, False, False]",False,False
71,0,0.021327972412109375,"[(np.int64(1), np.int64(3)), (np.int64(4), np.int64(2)), (np.int64(4), np.int64(1))]","[1.0499814748764038, 1.2062323093414307, 1.1216386556625366]","[3, 3, 3]","[True, True, True]",True,True
72,3,0.0067844390869140625,"[(np.int64(3), np.int64(2)), (np.int64(2), np.int64(2)), (np.int64(2), np.int64(4))]","[0.9541647434234619, 0.9230944514274597, 0.9639732837677002]","[0, 3, 0]","[True, False, True]",True,False
73,0,0.17479324340820312,"[(np.int64(4), np.int64(2)), (np.int64(2), np.int64(0)), (np.int64(3), np.int64(0))]","[1.22711181640625, 1.0667383670806885, 1.0205092430114746]","[0, 0, 0]","[False, False, False]",False,False
74,3,0.29694175720214844,"[(np.int64(3), np.int64(3)), (np.int64(4), np.int64(2)), (np.int64(2), np.int64(4))]","[0.084785595536232, 1.34377920627594, 1.174147129058838]","[3, 3, 3]","[False, False, False]",False,False
75,0,0.16525840759277344,"[(np.int64(0), np.int64(4)), (np.int64(3), np.int64(3)), (np.int64(2), np.int64(1))]","[0.9372389912605286, 1.1472842693328857, 1.1416122913360596]","[0, 0, 3]","[False, False, True]",False,False
76,3,0.16731834411621094,"[(np.int64(2), np.int64(4)), (np.int64(3), np.int64(3)), (np.int64(2), np.int64(3))]","[1.0171728134155273, 1.0771697759628296, 1.3213523626327515]","[3, 3, 3]","[False, False, False]",False,False
77,0,0.02885150909423828,"[(np.int64(2), np.int64(3)), (np.int64(0), np.int64(2)), (np.int64(4), np.int64(0))]","[1.3132387399673462, 1.2347328662872314, 1.0119117498397827]","[3, 3, 3]","[True, True, True]",True,True
78,0,0.010170936584472656,"[(np.int64(1), np.int64(4)), (np.int64(3), np.int64(1)), (np.int64(2), np.int64(4))]","[1.1924422979354858, 1.2354804277420044, 1.1262707710266113]","[0, 3, 3]","[False, True, True]",True,True
79,3,0.09305572509765625,"[(np.int64(3), np.int64(3)), (np.int64(2), np.int64(4)), (np.int64(4), np.int64(1))]","[0.7135040163993835, 0.8105661869049072, 1.1639728546142578]","[3, 3, 3]","[False, False, False]",False,False
80,0,1.3522653579711914,"[(np.int64(2), np.int64(1)), (np.int64(1), np.int64(0)), (np.int64(2), np.int64(3))]","[1.03520667552948, 1.6751412153244019, 0.9524535536766052]","[0, 3, 0]","[False, True, False]",True,False
81,3,1.2355060577392578,"[(np.int64(0), np.int64(1)), (np.int64(3), np.int64(4)), (np.int64(1), np.int64(2))]","[1.482965350151062, 1.074241042137146, 0.8791556358337402]","[3, 3, 3]","[False, False, False]",False,False
82,0,0.14119529724121094,"[(np.int64(3), np.int64(2)), (np.int64(0), np.int64(2)), (np.int64(2), np.int64(0))]","[1.1458789110183716, 1.3012293577194214, 1.0461195707321167]","[0, 0, 3]","[False, False, True]",False,True
83,0,0.05533409118652344,"[(np.int64(0), np.int64(4)), (np.int64(1), np.int64(2)), (np.int64(4), np.int64(3))]","[0.9631504416465759, 0.7881547808647156, 1.2165005207061768]","[3, 0, 3]","[True, False, True]",True,False
84,0,0.02885150909423828,"[(np.int64(2), np.int64(3)), (np.int64(0), np.int64(2)), (np.int64(4), np.int64(0))]","[1.3132387399673462, 1.2347328662872314, 1.0119117498397827]","[3, 3, 3]","[True, True, True]",True,True
85,0,0.1279916763305664,"[(np.int64(0), np.int64(4)), (np.int64(2), np.int64(0)), (np.int64(2), np.int64(4))]","[0.9979303479194641, 1.0241053104400635, 1.11820650100708]","[0, 3, 0]","[False, True, False]",False,False
86,3,0.010172843933105469,"[(np.int64(1), np.int64(2)), (np.int64(1), np.int64(1)), (np.int64(0), np.int64(4))]","[1.415283203125, 1.0896430015563965, 1.0772885084152222]","[0, 3, 3]","[True, False, False]",True,False
87,0,0.09377479553222656,"[(np.int64(0), np.int64(2)), (np.int64(0), np.int64(4)), (np.int64(2), np.int64(2))]","[1.2317081689834595, 1.032118320465088, 1.1105060577392578]","[0, 0, 3]","[False, False, True]",False,False
88,3,0.14656448364257812,"[(np.int64(1), np.int64(2)), (np.int64(4), np.int64(0)), (np.int64(3), np.int64(3))]","[1.0188418626785278, 0.9171044230461121, 1.1058661937713623]","[3, 3, 3]","[False, False, False]",False,False
89,0,0.2654142379760742,"[(np.int64(2), np.int64(0)), (np.int64(4), np.int64(1)), (np.int64(3), np.int64(0))]","[1.0191606283187866, 1.0325478315353394, 0.992527425289154]","[0, 0, 0]","[False, False, False]",False,False
90,0,0.12061500549316406,"[(np.int64(1), np.int64(2)), (np.int64(2), np.int64(2)), (np.int64(4), np.int64(1))]","[1.2092646360397339, 1.059923529624939, 1.0531089305877686]","[0, 3, 0]","[False, True, False]",False,False
91,3,0.0909109115600586,"[(np.int64(1), np.int64(2)), (np.int64(0), np.int64(3)), (np.int64(1), np.int64(4))]","[1.0640640258789062, 0.9569839239120483, 0.9913498163223267]","[3, 3, 3]","[False, False, False]",False,False
92,3,0.05169105529785156,"[(np.int64(0), np.int64(3)), (np.int64(4), np.int64(2)), (np.int64(3), np.int64(2))]","[1.0726991891860962, 1.1908632516860962, 1.0138463973999023]","[3, 3, 3]","[False, False, False]",False,False
93,3,1.1896381378173828,"[(np.int64(2), np.int64(4)), (np.int64(3), np.int64(2)), (np.int64(0), np.int64(1))]","[0.8584509491920471, 0.5889216065406799, 1.5313702821731567]","[3, 3, 3]","[False, False, False]",False,False
94,0,0.010170936584472656,"[(np.int64(3), np.int64(1)), (np.int64(2), np.int64(4)), (np.int64(1), np.int64(4))]","[1.2354804277420044, 1.1262707710266113, 1.1924422979354858]","[3, 3, 0]","[True, True, False]",True,True
95,0,1.491969108581543,"[(np.int64(0), np.int64(4)), (np.int64(1), np.int64(0)), (np.int64(1), np.int64(3))]","[0.7750362157821655, 1.6576367616653442, 0.9132546782493591]","[0, 3, 0]","[False, True, False]",True,False
96,0,0.19301509857177734,"[(np.int64(3), np.int64(4)), (np.int64(4), np.int64(3)), (np.int64(3), np.int64(1))]","[1.598238229751587, 0.31750720739364624, 3.198262929916382]","[0, 3, 3]","[False, True, True]",True,True
97,3,1.533034324645996,"[(np.int64(0), np.int64(1)), (np.int64(3), np.int64(0)), (np.int64(4), np.int64(0))]","[1.5488059520721436, 0.6938039064407349, 0.6703827977180481]","[0, 3, 3]","[True, False, False]",True,False
98,0,0.007441520690917969,"[(np.int64(1), np.int64(3)), (np.int64(0), np.int64(2)), (np.int64(0), np.int64(3))]","[1.2648543119430542, 1.2450379133224487, 1.0687448978424072]","[3, 3, 3]","[True, True, True]",True,True
99,0,0.1999521255493164,"[(np.int64(2), np.int64(0)), (np.int64(2), np.int64(1)), (np.int64(3), np.int64(2))]","[1.0709213018417358, 1.1278001070022583, 1.2423840761184692]","[0, 0, 0]","[False, False, False]",False,False
100,0,0.14113521575927734,"[(np.int64(2), np.int64(4)), (np.int64(2), np.int64(0)), (np.int64(0), np.int64(2))]","[1.0111373662948608, 1.0505565404891968, 1.2689138650894165]","[0, 3, 0]","[False, True, False]",False,False
