trial,original_action,q_margin,obstacles,saliency_values,actions_after_removal,changed,faithful_top_salient,faithful_least_salient
0,3,1.7208929061889648,"[(np.int64(1), np.int64(1)), (np.int64(0), np.int64(1)), (np.int64(4), np.int64(3))]","[0.7412437796592712, 1.2223840951919556, 0.8157552480697632]","[3, 0, 3]","[False, True, False]",True,False
1,0,0.058402061462402344,"[(np.int64(2), np.int64(2)), (np.int64(4), np.int64(2)), (np.int64(0), np.int64(2))]","[1.0205626487731934, 1.3223906755447388, 1.2094985246658325]","[3, 0, 0]","[True, False, False]",False,True
2,3,0.11775779724121094,"[(np.int64(4), np.int64(2)), (np.int64(1), np.int64(4)), (np.int64(1), np.int64(3))]","[1.020660400390625, 0.9698179960250854, 0.9923220872879028]","[3, 3, 3]","[False, False, False]",False,False
3,3,0.09091567993164062,"[(np.int64(3), np.int64(3)), (np.int64(4), np.int64(1)), (np.int64(1), np.int64(3))]","[0.9764962196350098, 0.8416350483894348, 1.2202097177505493]","[3, 3, 3]","[False, False, False]",False,False
4,3,0.09508419036865234,"[(np.int64(4), np.int64(0)), (np.int64(4), np.int64(2)), (np.int64(1), np.int64(2))]","[0.9847378134727478, 1.1829471588134766, 0.9011050462722778]","[3, 3, 3]","[False, False, False]",False,False
5,0,1.0457754135131836,"[(np.int64(2), np.int64(0)), (np.int64(3), np.int64(4)), (np.int64(1), np.int64(1))]","[1.1055926084518433, 1.4493286609649658, 0.8777287602424622]","[3, 0, 3]","[True, False, True]",False,True
6,3,1.0840129852294922,"[(np.int64(0), np.int64(1)), (np.int64(3), np.int64(4)), (np.int64(0), np.int64(2))]","[1.39189612865448, 1.1355323791503906, 0.8955109715461731]","[3, 3, 3]","[False, False, False]",False,False
7,0,0.024019241333007812,"[(np.int64(2), np.int64(0)), (np.int64(3), np.int64(3)), (np.int64(4), np.int64(1))]","[1.1033574342727661, 1.166388988494873, 0.9782356023788452]","[3, 0, 0]","[True, False, False]",False,False
8,0,0.13436317443847656,"[(np.int64(1), np.int64(4)), (np.int64(4), np.int64(0)), (np.int64(2), np.int64(2))]","[1.1346755027770996, 1.1020734310150146, 1.1677043437957764]","[0, 0, 3]","[False, False, True]",True,False
9,0,0.06374835968017578,"[(np.int64(3), np.int64(1)), (np.int64(4), np.int64(0)), (np.int64(1), np.int64(1))]","[1.1635465621948242, 0.9093909859657288, 1.4387108087539673]","[0, 0, 0]","[False, False, False]",False,False
10,3,0.054046630859375,"[(np.int64(4), np.int64(3)), (np.int64(3), np.int64(2)), (np.int64(4), np.int64(2))]","[1.3541016578674316, 1.1894216537475586, 1.1732492446899414]","[3, 3, 3]","[False, False, False]",False,False
11,0,0.04844188690185547,"[(np.int64(0), np.int64(3)), (np.int64(1), np.int64(2)), (np.int64(3), np.int64(1))]","[1.1281362771987915, 1.282833218574524, 1.0357811450958252]","[3, 0, 3]","[True, False, True]",False,True
12,3,0.04205036163330078,"[(np.int64(4), np.int64(2)), (np.int64(2), np.int64(1)), (np.int64(2), np.int64(4))]","[0.9824681282043457, 0.7722966074943542, 0.9777346849441528]","[3, 3, 0]","[False, False, True]",False,False
13,3,0.10587501525878906,"[(np.int64(3), np.int64(3)), (np.int64(4), np.int64(2)), (np.int64(0), np.int64(2))]","[0.8938039541244507, 1.0363727807998657, 1.15105140209198]","[3, 3, 3]","[False, False, False]",False,False
14,3,0.019289016723632812,"[(np.int64(1), np.int64(2)), (np.int64(4), np.int64(0)), (np.int64(4), np.int64(1))]","[1.0099265575408936, 0.9665551781654358, 0.976356565952301]","[0, 3, 3]","[True, False, False]",True,False
15,0,0.11894512176513672,"[(np.int64(0), np.int64(2)), (np.int64(3), np.int64(4)), (np.int64(3), np.int64(0))]","[1.2945729494094849, 1.5684679746627808, 0.9574145674705505]","[3, 0, 3]","[True, False, True]",False,True
16,0,1.3867664337158203,"[(np.int64(3), np.int64(4)), (np.int64(3), np.int64(2)), (np.int64(1), np.int64(0))]","[1.248216986656189, 0.808892011642456, 1.4630247354507446]","[0, 0, 3]","[False, False, True]",True,False
17,0,0.0509185791015625,"[(np.int64(4), np.int64(0)), (np.int64(2), np.int64(4)), (np.int64(0), np.int64(2))]","[1.013298511505127, 1.1440731287002563, 1.2790095806121826]","[3, 3, 3]","[True, True, True]",True,True
18,3,0.0228118896484375,"[(np.int64(4), np.int64(1)), (np.int64(0), np.int64(2)), (np.int64(2), np.int64(3))]","[0.8147716522216797, 1.1473451852798462, 0.9827414155006409]","[3, 3, 3]","[False, False, False]",False,False
19,0,0.16733455657958984,"[(np.int64(4), np.int64(3)), (np.int64(4), np.int64(1)), (np.int64(0), np.int64(4))]","[1.1325184106826782, 1.0781662464141846, 1.0494506359100342]","[0, 0, 0]","[False, False, False]",False,False
20,0,0.20932674407958984,"[(np.int64(2), np.int64(2)), (np.int64(3), np.int64(3)), (np.int64(2), np.int64(0))]","[1.1152048110961914, 1.3603081703186035, 1.1144145727157593]","[0, 0, 0]","[False, False, False]",False,False
21,3,0.02583026885986328,"[(np.int64(1), np.int64(2)), (np.int64(2), np.int64(3)), (np.int64(3), np.int64(1))]","[1.2066326141357422, 1.3015180826187134, 1.0548261404037476]","[0, 3, 3]","[True, False, False]",False,False
22,0,0.06285285949707031,"[(np.int64(4), np.int64(0)), (np.int64(2), np.int64(0)), (np.int64(3), np.int64(1))]","[0.978996753692627, 1.0087372064590454, 1.1735419034957886]","[0, 0, 3]","[False, False, True]",True,False
23,3,0.00528717041015625,"[(np.int64(0), np.int64(4)), (np.int64(4), np.int64(0)), (np.int64(2), np.int64(3))]","[0.9607391357421875, 0.9152052402496338, 1.2042872905731201]","[3, 3, 3]","[False, False, False]",False,False
24,0,0.17979907989501953,"[(np.int64(1), np.int64(2)), (np.int64(2), np.int64(2)), (np.int64(4), np.int64(3))]","[0.9363471865653992, 0.8846060633659363, 1.6943434476852417]","[0, 3, 0]","[False, True, False]",False,True
25,0,0.1381855010986328,"[(np.int64(2), np.int64(1)), (np.int64(4), np.int64(0)), (np.int64(1), np.int64(4))]","[1.097737431526184, 1.0665253400802612, 1.0134621858596802]","[3, 0, 0]","[True, False, False]",True,False
26,0,2.3306074142456055,"[(np.int64(1), np.int64(1)), (np.int64(1), np.int64(0)), (np.int64(3), np.int64(0))]","[1.562766671180725, 1.0520267486572266, 1.3417531251907349]","[0, 0, 0]","[False, False, False]",False,False
27,0,0.13436317443847656,"[(np.int64(2), np.int64(2)), (np.int64(1), np.int64(4)), (np.int64(4), np.int64(0))]","[1.1677043437957764, 1.1346755027770996, 1.1020734310150146]","[3, 0, 0]","[True, False, False]",True,False
28,0,2.1385879516601562,"[(np.int64(0), np.int64(3)), (np.int64(2), np.int64(4)), (np.int64(1), np.int64(0))]","[0.8876394629478455, 1.0290729999542236, 1.8270589113235474]","[0, 0, 3]","[False, False, True]",True,False
29,0,0.16808605194091797,"[(np.int64(1), np.int64(4)), (np.int64(2), np.int64(1)), (np.int64(3), np.int64(3))]","[0.8922900557518005, 1.2507905960083008, 1.1154723167419434]","[0, 3, 0]","[False, True, False]",True,False
30,0,1.7322998046875,"[(np.int64(2), np.int64(4)), (np.int64(0), np.int64(4)), (np.int64(1), np.int64(0))]","[1.2274543046951294, 0.9628435373306274, 1.5758520364761353]","[0, 0, 3]","[False, False, True]",True,False
31,0,0.03730487823486328,"[(np.int64(3), np.int64(3)), (np.int64(1), np.int64(4)), (np.int64(2), np.int64(4))]","[1.1131949424743652, 1.067580223083496, 1.0166493654251099]","[3, 3, 3]","[True, True, True]",True,True
32,0,0.10965347290039062,"[(np.int64(4), np.int64(0)), (np.int64(4), np.int64(3)), (np.int64(2), np.int64(3))]","[0.8735767602920532, 1.1394388675689697, 1.406597375869751]","[0, 3, 3]","[False, True, True]",True,False
33,0,0.042868614196777344,"[(np.int64(3), np.int64(0)), (np.int64(0), np.int64(2)), (np.int64(0), np.int64(4))]","[0.9793545603752136, 1.3774762153625488, 1.086897850036621]","[3, 0, 0]","[True, False, False]",False,True
34,0,0.07001399993896484,"[(np.int64(2), np.int64(4)), (np.int64(0), np.int64(3)), (np.int64(2), np.int64(2))]","[1.1470370292663574, 0.9677780866622925, 1.0430175065994263]","[0, 0, 3]","[False, False, True]",False,False
35,0,0.08830547332763672,"[(np.int64(4), np.int64(2)), (np.int64(3), np.int64(2)), (np.int64(2), np.int64(1))]","[1.207643985748291, 1.1019636392593384, 1.0573145151138306]","[0, 0, 3]","[False, False, True]",False,True
36,0,1.3600101470947266,"[(np.int64(1), np.int64(2)), (np.int64(0), np.int64(4)), (np.int64(1), np.int64(0))]","[0.6739286780357361, 0.6883345246315002, 1.775495171546936]","[0, 0, 3]","[False, False, True]",True,False
