test_number,original_action,new_action,confirmed
0,0,0,False
1,3,3,False
2,3,3,False
3,0,3,True
4,3,0,True
5,3,0,True
6,0,0,False
7,3,0,True
8,3,3,False
9,1,3,True
10,3,3,False
11,0,0,False
12,0,0,False
13,0,0,False
14,3,3,False
15,0,0,False
16,0,0,False
17,0,3,True
18,3,3,False
19,0,0,False
20,1,0,True
21,3,3,False
22,0,0,False
23,0,0,False
24,3,0,True
25,0,0,False
26,3,0,True
27,0,3,True
28,0,3,True
29,3,0,True
